name,country_of_citizenship,current_club_name,age,position,minutes_played,market_value_in_eur,image_url
Jude Bellingham,England,Real Madrid Club de Fútbol,21.0,Midfield,17065.0,180000000.0,https://img.a.transfermarkt.technology/portrait/header/581678-1693987944.jpg?lm=1
Florian Wirtz,Germany,Bayer 04 Leverkusen Fußball,21.0,Midfield,13752.0,140000000.0,https://img.a.transfermarkt.technology/portrait/header/598577-1689710503.jpg?lm=1
Lamine Yamal,Spain,Futbol Club Barcelona,17.0,Attack,6235.0,180000000.0,https://img.a.transfermarkt.technology/portrait/header/937958-1720606123.jpg?lm=1
Xavi Simons,Netherlands,RasenBallsport Leipzig,21.0,Midfield,9549.0,70000000.0,https://img.a.transfermarkt.technology/portrait/header/566931-1729778226.jpg?lm=1
Gavi,Spain,Futbol Club Barcelona,20.0,Midfield,8862.0,70000000.0,https://img.a.transfermarkt.technology/portrait/header/646740-1682685701.jpg?lm=1
Alejandro Balde,Spain,Futbol Club Barcelona,21.0,Defender,8312.0,60000000.0,https://img.a.transfermarkt.technology/portrait/header/636688-1662836200.jpg?lm=1
João Neves,Portugal,Paris Saint-Germain Football Club,20.0,Midfield,7000.0,65000000.0,https://img.a.transfermarkt.technology/portrait/header/670681-1701295511.jpg?lm=1
Pau Cubarsí,Spain,Futbol Club Barcelona,18.0,Defender,5131.0,70000000.0,https://img.a.transfermarkt.technology/portrait/header/962110-1712779232.jpg?lm=1
Warren Zaïre-Emery,France,Paris Saint-Germain Football Club,19.0,Midfield,6192.0,60000000.0,https://img.a.transfermarkt.technology/portrait/header/810092-1672303575.jpg?lm=1
António Silva,Portugal,Sport Lisboa e Benfica,21.0,Defender,9813.0,32000000.0,https://img.a.transfermarkt.technology/portrait/header/650568-1700235534.jpg?lm=1
